ID,RADEG,DECDEG,CLASS,DATATABLE,i,g
G002,8.3907417,39.5219222,1.0,m31rbcV5,19.648,20.592
SK003C,8.3934292,40.1853472,4.0,m31rbcV5,21.44,22.42
SK004C,8.395666666666667,40.13786111111112,4.0,m31rbcV5,19.098,20.917
SK003B,8.404291666666666,39.68305555555556,4.0,m31rbcV5,21.746,22.748
SK005C,8.408499999999998,39.593250000000005,4.0,m31rbcV5,18.739,20.45
PA-N147-2,8.430416666666666,48.645833333333336,1.0,veljanoski13_table2,17.752,18.606
SK006C,8.442124999999999,39.81016666666667,4.0,m31rbcV5,19.107,20.432
G003,8.4531583,42.0631556,6.0,m31rbcV5,24.668,26.12
PAndAS-24,8.460708333333333,38.64112222222222,1.0,huxor14_table1,23.634,24.162
SK007C,8.477625,39.57683333333334,4.0,m31rbcV5,18.535,20.366
C10,8.49875,28.70833333333333,2.0,di_tullio_zinn_13_table2,23.669,24.787
PAndAS-25,8.525624999999998,43.251847222222224,1.0,huxor14_table1,20.833,21.668
PA-N147-3,8.541666666666666,49.04416666666666,1.0,veljanoski13_table2,19.91,20.821
B133D,8.545808333333332,39.847297222222224,4.0,m31rbcV5,18.283,19.484
BH01,8.5478333,39.39975,2.0,m31rbcV5,22.358,23.987
SK008C,8.5478792,40.1330083,4.0,m31rbcV5,19.391,20.903
C045,8.5497917,39.40305,6.0,m31rbcV5,23.448,24.399
SK009C,8.550833333333332,40.10825,4.0,m31rbcV5,18.157,19.703
H8,8.5642083,39.8812306,1.0,m31rbcV5,20.437,21.628
H9,8.5717625,37.5120611,1.0,m31rbcV5,24.185,25.077
B289,8.5870083,41.7975389,1.0,m31rbcV5,20.777,21.676
B290,8.5872792,41.4717167,1.0,m31rbcV5,18.171,19.187
LAMOST-C01,8.60064,32.95713,6.0,,24.369,24.829
LAMOST-C01,8.60064,32.95713,6.0,,24.369,24.829
SK010C,8.611875,39.901555555555554,4.0,m31rbcV5,18.723,19.788
B411,8.628366666666665,41.56224722222222,4.0,m31rbcV5,18.297,19.493
SK004B,8.642499999999998,40.04705555555555,4.0,m31rbcV5,19.322,20.789
G004,8.6642458,39.5780028,4.0,m31rbcV5,20.671,21.797
PAndAS-26,8.687833333333332,38.44390277777777,1.0,huxor14_table1,20.935,22.114
SK011C,8.713166666666664,39.92586111111111,4.0,m31rbcV5,18.628,20.197
BA21,8.7243,39.8279417,4.0,m31rbcV5,24.817,25.943
B412,8.7303375,41.54069166666667,4.0,m31rbcV5,17.482,18.801
G005,8.7585708,42.4863611,4.0,m31rbcV5,20.207,21.721
2M005,8.76975,42.5921111,4.0,m31rbcV5,17.74,18.693
G006,8.7698875,42.5922861,4.0,m31rbcV5,17.74,18.693
SK012C,8.786708333333333,40.12572222222222,4.0,m31rbcV5,19.503,20.647
SK013C,8.7885,40.09438888888889,4.0,m31rbcV5,19.235,20.689
SK001D,8.7949167,41.7341944,6.0,m31rbcV5,23.99,24.766
B413,8.804170833333332,41.48550277777778,4.0,m31rbcV5,18.29,19.761
PAndAS-27,8.806375,45.17718055555555,1.0,huxor14_table1,17.531,18.365
BA22,8.8067,39.76032222222222,4.0,m31rbcV5,18.478,19.645
G007,8.8071083,42.5884972,4.0,m31rbcV5,23.001,23.885
SK014C,8.811916666666665,39.69444444444444,4.0,m31rbcV5,18.425,19.966
SK002D,8.8215,41.3702778,6.0,m31rbcV5,22.705,24.654
DAO1,8.8287333,40.1530833,4.0,m31rbcV5,24.403,26.068
SK003D,8.8336667,41.3615833,6.0,m31rbcV5,23.775,24.873
SK015C,8.835291666666665,39.58447222222223,4.0,m31rbcV5,18.526,20.14
SK005B,8.8383292,41.925725,2.0,m31rbcV5,22.398,24.108
SK016C,8.841666666666665,41.82983333333333,4.0,m31rbcV5,18.949,20.543
SK004D,8.8549583,42.11425,6.0,m31rbcV5,25.342,25.849
SK005D,8.8587083,41.745,6.0,m31rbcV5,22.912,24.157
SK017C,8.8685,39.54030555555556,6.0,m31rbcV5,20.746,21.662
SK018C,8.872166666666665,41.70925,4.0,m31rbcV5,18.901,20.56
SK019C,8.8737583,40.4922361,6.0,m31rbcV5,24.44,25.215
B134D,8.876241666666665,40.740233333333336,4.0,m31rbcV5,18.542,19.711
B135D,8.8849708,41.3298722,6.0,m31rbcV5,21.941,24.197
DAO2,8.8859083,40.3791694,4.0,m31rbcV5,18.344,19.791
SK006D,8.8899167,42.1185556,6.0,m31rbcV5,24.263,24.612
SK006B,8.892666666666667,41.19805555555556,4.0,m31rbcV5,19.221,20.506
SK007D,8.9070417,42.1176389,6.0,m31rbcV5,23.816,24.281
SK007B,8.938583333333332,39.65591666666666,4.0,m31rbcV5,22.526,23.591
SK008D,8.9394167,41.7538889,6.0,m31rbcV5,21.79,23.462
SK020C,8.95725,41.834,4.0,m31rbcV5,19.21,20.639
SK021C,8.961791666666667,39.60022222222222,4.0,m31rbcV5,18.917,20.29
SK022C,8.965666666666667,40.90322222222222,4.0,m31rbcV5,18.536,20.173
C043,8.9663083,40.3488694,6.0,m31rbcV5,23.806,24.872
DAO3,8.9671417,40.3501694,4.0,m31rbcV5,19.932,20.865
B136D,8.9684833,39.9522444,4.0,m31rbcV5,22.478,24.218
2M025,8.9688333,37.8615278,4.0,m31rbcV5,17.664,19.029
SK023C,8.97125,41.85658333333333,4.0,m31rbcV5,19.376,21.391
SK024C,8.974291666666666,41.7285,4.0,m31rbcV5,19.441,20.61
SK025C,8.975916666666667,41.78161111111111,4.0,m31rbcV5,18.602,20.239
PAndAS-28,8.985125,40.81249444444444,1.0,huxor14_table1,22.108,22.821
SK008B,8.992291666666667,39.62652777777778,4.0,m31rbcV5,23.451,24.622
MCGC5,8.9988917,35.6842722,1.0,m31rbcV5,21.527,22.39
